name	base_ingredient_1_name	base_ingredient_1_qty	base_ingredient_2_name	base_ingredient_2_qty	base_ingredient_3_name	base_ingredient_3_qty	base_ingredient_4_name	base_ingredient_4_qty	base_ingredient_5_name	base_ingredient_5_qty	base_ingredient_6_name	base_ingredient_6_qty	base_ingredient_7_name	base_ingredient_7_qty	base_ingredient_8_name	base_ingredient_8_qty	base_ingredient_9_name	base_ingredient_9_qty	base_ingredient_10_name	base_ingredient_10_qty	base_ingredient_11_name	base_ingredient_11_qty	base_ingredient_12_name	base_ingredient_12_qty	base_ingredient_13_name	base_ingredient_13_qty	base_ingredient_14_name	base_ingredient_14_qty	base_ingredient_15_name	base_ingredient_15_qty	base_ingredient_16_name	base_ingredient_16_qty	base_ingredient_17_name	base_ingredient_17_qty	base_ingredient_18_name	base_ingredient_18_qty	base_ingredient_19_name	base_ingredient_19_qty	base_ingredient_20_name	base_ingredient_20_qty	base_ingredient_21_name	base_ingredient_21_qty	base_ingredient_22_name	base_ingredient_22_qty	base_ingredient_23_name	base_ingredient_23_qty	base_ingredient_24_name	base_ingredient_24_qty	base_ingredient_25_name	base_ingredient_25_qty	base_ingredient_26_name	base_ingredient_26_qty	base_ingredient_27_name	base_ingredient_27_qty
Crystalline Lodestone	Crystalline Lodestone	1																																																				
Putrid Lodestone	Putrid Lodestone	1																																																				
Gleaming Lodestone	Gleaming Lodestone	1																																																				
Molten Lodestone	Molten Lodestone	1																																																				
Loamy Lodestone	Loamy Lodestone	1																																																				
Freezing Lodestone	Freezing Lodestone	1																																																				
Starmetal Skinning Knife	Refined Wood	2	Tier 4 Metals	9	Leathers	1																																																
Starmetal Harvesting Sickle	Refined Wood	2	Tier 4 Metals	9	Leathers	1																																																
Infused Encumbrance Potion	Tier 5 Earth Reagents	1	Water	1	Air Reagents	1	Fire Reagents	1																																														
Archmage's Assistant	Flux	54	Wood	168	Starmetal Ore	84	Iron Ore	336	Blessed Crucible	4	Platinum Ore	24	Silver Ore	64	Gold Ore	40	Brightscale Hide	2	Wyrdwood	18	Sandpaper	9	Aged Wood	24	Green Wood	48	Refining Materials Tier 3	480	Common Material Converter	24	Rawhide	256	Thick Hide	48																				
Fine Cloth Camp Skin	Wirefiber	54000	Cloth Weave	3500	Fibers	32000	Silk Threads	6000	Refining Materials Tier 5	6000	Masterwork Material Converter	300	Fire Mote	6000	Orichalcum Ore	54000	Flux	3500	Wood	14400	Starmetal Ore	6000	Iron Ore	24000	Ironwood	54000	Sandpaper	3500	Wyrdwood	6000	Aged Wood	8000	Green Wood	16000																				
Dowsing Blade	Flux	54	Wood	168	Starmetal Ore	84	Iron Ore	336	Platinum Ore	24	Silver Ore	64	Gold Ore	40	Shifthide	2	Wyrdwood	18	Sandpaper	9	Aged Wood	24	Green Wood	48	Refining Materials Tier 3	480	Common Material Converter	24	Rawhide	256	Thick Hide	48	Azurite Chunk	4																				
Dryad's Kite Shield	Orichalcum Ore	17820	Flux	1155	Wood	4752	Starmetal Ore	1980	Iron Ore	7920	Refining Materials Tier 5	840	Masterwork Material Converter	42	Ironwood	3240	Sandpaper	210	Wyrdwood	360	Aged Wood	480	Green Wood	960	Pattern: Dryad's Kite Shield	1	Azoth	225	Iron Hide	1620	Refining Materials Tier 3	2100	Common Material Converter	105	Rawhide	960	Thick Hide	180																
Black-lacquered Vanity Table	Refining Materials Tier 5	400	Masterwork Material Converter	20	Oil	8	Flux	105	Wood	420	Starmetal Ore	180	Iron Ore	720	Orichalcum Ore	120	Ironwood	240	Sandpaper	210	Wyrdwood	360	Aged Wood	480	Green Wood	960																												
Infused Silk Robe Shoes of the Ranger	Rough Leather Beaded Straps	10	Metals	1	Leathers	2	Timeless Shoes Shard	1	Tier 5 Cloth	6																																												
Ta-Seti's Leggings	Wirefiber	9720	Cloth Weave	630	Fibers	5760	Silk Threads	1080	Refining Materials Tier 5	1080	Masterwork Material Converter	54	Iron Hide	16200	Refining Materials Tier 3	21000	Common Material Converter	1050	Rawhide	9600	Thick Hide	1800	Azoth	225	Pattern: Ta-Seti's Leggings	1	Orichalcum Ore	3240	Flux	210	Wood	864	Starmetal Ore	360	Iron Ore	1440																		
Balanced Blade	Rawhide	128	Refining Materials Tier 3	160	Common Material Converter	8	Flux	18	Wood	56	Iron Ore	168	Aged Wood	12	Sandpaper	3	Green Wood	24	Silver Ore	32	Gold Ore	20	Voidmetal	4																														
Standard Armaments	Crate of Steel Armaments	1																																																				
Fire Quintessence	Fire Mote	60																																																				
Syndicate Cabalist Gloves of the Cleric	Azoth	50	Syndicate Cabalist Gloves of the Brigand	1	Syndicate Cleric Seal	1																																																
Cloth	Cloth	1																																																				
Obelisk Priest's Hat	Pattern: Obelisk Priest's Hat	1	Orichalcum Ore	1620	Flux	105	Wood	432	Starmetal Ore	180	Iron Ore	720	Refining Materials Tier 5	1080	Masterwork Material Converter	54	Wirefiber	17820	Cloth Weave	1155	Fibers	10560	Silk Threads	1980	Iron Hide	9720	Refining Materials Tier 3	12600	Common Material Converter	630	Rawhide	5760	Thick Hide	1080	Azoth	225																		
Steel Ingot	Flux	1	Wood	4	Iron Ore	12																																																
Orichalcum Sewing Needles	Work Order: Orichalcum Sewing Needles	1																																																				
Fae Iron	Fae Iron	1																																																				
Orichalcum Pocketwatch	Common Transmutation Catalyst	12	Iron Pocketwatch	60	Greater Transmutation Catalyst	3	Grand Transmutation Catalyst	1																																														
Weaponsmithing Work Order	Weaponsmithing Work Order	1																																																				
Wyrdwood Tree Sap	Softwood Tree Sap	20	Common Transmutation Catalyst	4	Greater Transmutation Catalyst	1																																																
Steel Plate Helm	Tier 3 Metals	8	Leathers	6	Cloth	4																																																
Ancient Beaded Totem	Ancient Bone Totem	5	Common Transmutation Catalyst	1																																																		
Marauder Destroyer Hat of the Barbarian	Marauder Barbarian Seal	1	Marauder Destroyer Hat of the Brigand	1	Azoth	50																																																
Covenant Adjudicator Footwear of the Cleric	Covenant Adjudicator Footwear of the Priest	1	Azoth	50	Covenant Cleric Seal	1																																																
Covenant Adjudicator Handcovers of the Cleric	Covenant Adjudicator Handcovers of the Priest	1	Azoth	50	Covenant Cleric Seal	1																																																
Rosewood Pedestal Shelf	Flux	45	Wood	180	Starmetal Ore	90	Iron Ore	360	Refining Materials Tier 4	400	Advanced Material Converter	20	Oil	8	Wyrdwood	180	Sandpaper	90	Aged Wood	240	Green Wood	480																																
Pattern: Dryad's Round Shield	Pattern: Dryad's Round Shield	1																																																				
Covenant Lumen Shoes of the Cleric	Azoth	50	Covenant Cleric Seal	1	Covenant Lumen Shoes of the Brigand	1																																																
Tempered Emerald Ring	Earth Mote	15	Solvent	4	Flawed Emerald	3	Precious Metals	1	Trinket Bands	1	Trinket Gem Settings	1																																										
Covenant Inquisitor Boots of the Cleric	Azoth	50	Covenant Cleric Seal	1	Covenant Inquisitor Boots of the Sentry	1																																																
Syndicate Alchemist Shoes of the Occultist	Syndicate Alchemist Shoes of the Brigand	1	Syndicate Occultist Seal	1	Azoth	50																																																
Primeval Diamond Ring	Precious Metals	1	Trinket Bands	1	Solvent	4	Flawed Diamond	3	Life Mote	15	Trinket Gem Settings	1																																										
Covenant Adjudicator Boots of the Brigand	Covenant Brigand Seal	1	Covenant Adjudicator Boots of the Barbarian	1	Azoth	50																																																
Pattern: Ta-Seti's Hat	Pattern: Ta-Seti's Hat	1																																																				
Death Quintessence	Death Mote	60																																																				
Maritime Velvet Dining Chair	Flux	30	Wood	120	Starmetal Ore	60	Iron Ore	240	Wyrdwood	90	Sandpaper	45	Aged Wood	120	Green Wood	240	Refining Materials Tier 4	200	Advanced Material Converter	10	Oil	4																																
Ironwood Spear of the Sage	Tier 5 Timber	13	Timeless Spear Shard	1	Leathers	2	Metals	5	Softwood Prayer Beads	10																																												
Canned Fish Rations	Cooking Recipe	1	Fish Oil	5	Dill	5	Fish Filet	5																																														
Arboreal Amber Earring	Precious Metals	1	Trinket Hooks	1	Solvent	4	Earth Mote	15	Flawed Amber	3	Trinket Gem Settings	1																																										
Hardworking Tall Dresser	Flux	45	Wood	180	Starmetal Ore	90	Iron Ore	360	Refining Materials Tier 4	400	Advanced Material Converter	20	Oil	8	Wyrdwood	180	Sandpaper	90	Aged Wood	240	Green Wood	480																																
Jade Dresser	Refining Materials Tier 5	400	Masterwork Material Converter	20	Oil	8	Ironwood	280	Sandpaper	245	Wyrdwood	420	Aged Wood	560	Green Wood	1120	Flux	70	Wood	280	Starmetal Ore	120	Iron Ore	480	Orichalcum Ore	80																												
Young Dryad Vine	Dead Dryad Vine	5	Common Transmutation Catalyst	1																																																		
Marauder Gladiator Leggings of the Occultist	Marauder Occultist Seal	1	Marauder Gladiator Leggings of the Priest	1	Azoth	50																																																
Orichalcum Heavy Breastplate of the Sage	Tier 5 Metals	20	Cloth	7	Leathers	8	Softwood Prayer Beads	10	Timeless Breastplate Shard	1																																												
Infused Silk Shoes	Metals	1	Tier 5 Cloth	5	Leathers	3																																																
Marauder Commander Leggings of the Occultist	Marauder Occultist Seal	1	Marauder Commander Leggings of the Priest	1	Azoth	50																																																
Syndicate Adept Handcovers of the Barbarian	Syndicate Adept Handcovers of the Priest	1	Azoth	50	Syndicate Barbarian Seal	1																																																
Abyssal Brilliant Amethyst Ring	Soul Mote	80	Solvent	12	Flawed Amethyst	12	Precious Metals	1	Trinket Bands	1	Trinket Gem Settings	1																																										
lacquered Wood Spear	Tier 3 Timber	11	Leathers	2	Metals	5																																																
Squid Ink Pasta with Clams	Sage	1	Garlic	1	Squid Ink	1	Parsley	1	Milk	2	Clam	1	Egg	1	Cooked Grain	2																																						
Shards of Pure Crystal	Shards of Pure Crystal	1																																																				
Empowered Brilliant Sapphire Amulet	Trinket Chains	1	Precious Metals	1	Solvent	12	Death Mote	80	Flawed Sapphire	12	Trinket Gem Settings	1																																										
Marauder Commander Breastplate of the Occultist	Marauder Occultist Seal	1	Azoth	50	Marauder Commander Breastplate of the Barbarian	1																																																
Darkened Agent	Darkened Agent	1																																																				
Linen Shirt	Tier 2 Cloth	22	Leathers	12	Metals	1																																																
Earthshell Tail	Earthshell Tail	1																																																				
Pattern: Primeval Husk Breastplate	Pattern: Primeval Husk Breastplate	1																																																				
Wyrdwood Bow	Cloth	2	Tier 4 Timber	14	Leathers	3																																																
Shadewalker Shoes of the Ranger	Rough Leather Beaded Straps	10	Metals	1	Leathers	2	Timeless Shoes Shard	1	Tier 5 Cloth	6																																												
Silver Band	Silver Ore	20																																																				
Infused Silk Robe Shoes of the Scholar	Metals	1	Leathers	2	Timeless Shoes Shard	1	Linen Arcane Embroidery	10	Tier 5 Cloth	6																																												
Shadewalker Leggings of the Ranger	Rough Leather Beaded Straps	10	Timeless Pants Shard	1	Leathers	4	Metals	2	Tier 5 Cloth	12																																												
Maritime Velvet Stool	Flux	30	Wood	120	Starmetal Ore	60	Iron Ore	240	Wyrdwood	90	Sandpaper	45	Aged Wood	120	Green Wood	240	Refining Materials Tier 4	200	Advanced Material Converter	10	Oil	4																																
Covenant Inquisitor Pants of the Occultist	Covenant Occultist Seal	1	Covenant Inquisitor Pants of the Sentry	1	Azoth	50																																																
Marauder Destroyer Boots of the Brigand	Marauder Brigand Seal	1	Azoth	50	Marauder Destroyer Boots of the Barbarian	1																																																
Spectral Malachite Ring	Soul Mote	15	Solvent	4	Flawed Malachite	3	Precious Metals	1	Trinket Bands	1	Trinket Gem Settings	1																																										
Orichalcum Fire Staff of the Sentry	Iron Guardsman's Insignia	10	Timeless Fire Staff Shard	1	Leathers	4	Fire Arcana	6	Tier 5 Timber	8	Metals	5																																										
Syndicate Adept Pants of the Brigand	Syndicate Adept Pants of the Brigand	1																																																				
Padded Jasper Earring	Precious Metals	1	Trinket Hooks	1	Solvent	4	Air Mote	15	Flawed Jasper	3	Trinket Gem Settings	1																																										
Pearl Ring	Pearl	1	Precious Metals	1	Trinket Bands	1	Trinket Gem Settings	1																																														
Shadewalker Shoes of the Scholar	Metals	1	Leathers	2	Timeless Shoes Shard	1	Linen Arcane Embroidery	10	Tier 5 Cloth	6																																												
Covenant Templar Legguards of the Occultist	Covenant Occultist Seal	1	Azoth	50	Covenant Templar Legguards of the Barbarian	1																																																
Sizzling Snow	Pattern: Sizzling Snow	1	Leathers	6	Tier 5 Timber	8	Metals	5	Fire Arcana	4																																												
Fruit Supplies	Blueberry	12	Cooking Recipe	1	Cranberry	12	Strawberry	12																																														
Mahogany End Table	Refining Materials Tier 5	400	Masterwork Material Converter	20	Oil	8	Flux	105	Wood	420	Starmetal Ore	180	Iron Ore	720	Orichalcum Ore	120	Ironwood	240	Sandpaper	210	Wyrdwood	360	Aged Wood	480	Green Wood	960																												
Set of Unyielding Steel Armor	Rawhide	128	Refining Materials Tier 3	160	Common Material Converter	8	Flux	8	Wood	32	Iron Ore	96	Fibers	144	Cloth Weave	9	Armorsmithing Work Order	1																																				
