name,base_ingredient_1_name,base_ingredient_1_qty,base_ingredient_2_name,base_ingredient_2_qty,base_ingredient_3_name,base_ingredient_3_qty,base_ingredient_4_name,base_ingredient_4_qty,base_ingredient_5_name,base_ingredient_5_qty,base_ingredient_6_name,base_ingredient_6_qty,base_ingredient_7_name,base_ingredient_7_qty,base_ingredient_8_name,base_ingredient_8_qty,base_ingredient_9_name,base_ingredient_9_qty,base_ingredient_10_name,base_ingredient_10_qty,base_ingredient_11_name,base_ingredient_11_qty,base_ingredient_12_name,base_ingredient_12_qty,base_ingredient_13_name,base_ingredient_13_qty,base_ingredient_14_name,base_ingredient_14_qty,base_ingredient_15_name,base_ingredient_15_qty,base_ingredient_16_name,base_ingredient_16_qty,base_ingredient_17_name,base_ingredient_17_qty,base_ingredient_18_name,base_ingredient_18_qty,base_ingredient_19_name,base_ingredient_19_qty,base_ingredient_20_name,base_ingredient_20_qty,base_ingredient_21_name,base_ingredient_21_qty,base_ingredient_22_name,base_ingredient_22_qty,base_ingredient_23_name,base_ingredient_23_qty,base_ingredient_24_name,base_ingredient_24_qty,base_ingredient_25_name,base_ingredient_25_qty,base_ingredient_26_name,base_ingredient_26_qty,base_ingredient_27_name,base_ingredient_27_qty
Crystalline Lodestone,Crystalline Lodestone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putrid Lodestone,Putrid Lodestone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gleaming Lodestone,Gleaming Lodestone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molten Lodestone,Molten Lodestone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loamy Lodestone,Loamy Lodestone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freezing Lodestone,Freezing Lodestone,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmetal Skinning Knife,Refined Wood,2.0,Tier 4 Metals,9.0,Leathers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmetal Harvesting Sickle,Refined Wood,2.0,Tier 4 Metals,9.0,Leathers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Encumbrance Potion,Tier 5 Earth Reagents,1.0,Water,1.0,Air Reagents,1.0,Fire Reagents,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archmage's Assistant,Flux,54.0,Wood,168.0,Starmetal Ore,84.0,Iron Ore,336.0,Blessed Crucible,4.0,Platinum Ore,24.0,Silver Ore,64.0,Gold Ore,40.0,Brightscale Hide,2.0,Wyrdwood,18.0,Sandpaper,9.0,Aged Wood,24.0,Green Wood,48.0,Refining Materials Tier 3,480.0,Common Material Converter,24.0,Rawhide,256.0,Thick Hide,48.0,,,,,,,,,,,,,,,,,,,,
Fine Cloth Camp Skin,Wirefiber,54000.0,Cloth Weave,3500.0,Fibers,32000.0,Silk Threads,6000.0,Refining Materials Tier 5,6000.0,Masterwork Material Converter,300.0,Fire Mote,6000.0,Orichalcum Ore,54000.0,Flux,3500.0,Wood,14400.0,Starmetal Ore,6000.0,Iron Ore,24000.0,Ironwood,54000.0,Sandpaper,3500.0,Wyrdwood,6000.0,Aged Wood,8000.0,Green Wood,16000.0,,,,,,,,,,,,,,,,,,,,
Dowsing Blade,Flux,54.0,Wood,168.0,Starmetal Ore,84.0,Iron Ore,336.0,Platinum Ore,24.0,Silver Ore,64.0,Gold Ore,40.0,Shifthide,2.0,Wyrdwood,18.0,Sandpaper,9.0,Aged Wood,24.0,Green Wood,48.0,Refining Materials Tier 3,480.0,Common Material Converter,24.0,Rawhide,256.0,Thick Hide,48.0,Azurite Chunk,4.0,,,,,,,,,,,,,,,,,,,,
Dryad's Kite Shield,Orichalcum Ore,17820.0,Flux,1155.0,Wood,4752.0,Starmetal Ore,1980.0,Iron Ore,7920.0,Refining Materials Tier 5,840.0,Masterwork Material Converter,42.0,Ironwood,3240.0,Sandpaper,210.0,Wyrdwood,360.0,Aged Wood,480.0,Green Wood,960.0,Pattern: Dryad's Kite Shield,1.0,Azoth,225.0,Iron Hide,1620.0,Refining Materials Tier 3,2100.0,Common Material Converter,105.0,Rawhide,960.0,Thick Hide,180.0,,,,,,,,,,,,,,,,
Black-lacquered Vanity Table,Refining Materials Tier 5,400.0,Masterwork Material Converter,20.0,Oil,8.0,Flux,105.0,Wood,420.0,Starmetal Ore,180.0,Iron Ore,720.0,Orichalcum Ore,120.0,Ironwood,240.0,Sandpaper,210.0,Wyrdwood,360.0,Aged Wood,480.0,Green Wood,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Silk Robe Shoes of the Ranger,Rough Leather Beaded Straps,10.0,Metals,1.0,Leathers,2.0,Timeless Shoes Shard,1.0,Tier 5 Cloth,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ta-Seti's Leggings,Wirefiber,9720.0,Cloth Weave,630.0,Fibers,5760.0,Silk Threads,1080.0,Refining Materials Tier 5,1080.0,Masterwork Material Converter,54.0,Iron Hide,16200.0,Refining Materials Tier 3,21000.0,Common Material Converter,1050.0,Rawhide,9600.0,Thick Hide,1800.0,Azoth,225.0,Pattern: Ta-Seti's Leggings,1.0,Orichalcum Ore,3240.0,Flux,210.0,Wood,864.0,Starmetal Ore,360.0,Iron Ore,1440.0,,,,,,,,,,,,,,,,,,
Balanced Blade,Rawhide,128.0,Refining Materials Tier 3,160.0,Common Material Converter,8.0,Flux,18.0,Wood,56.0,Iron Ore,168.0,Aged Wood,12.0,Sandpaper,3.0,Green Wood,24.0,Silver Ore,32.0,Gold Ore,20.0,Voidmetal,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Armaments,Crate of Steel Armaments,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Quintessence,Fire Mote,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Cabalist Gloves of the Cleric,Azoth,50.0,Syndicate Cabalist Gloves of the Brigand,1.0,Syndicate Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloth,Cloth,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obelisk Priest's Hat,Pattern: Obelisk Priest's Hat,1.0,Orichalcum Ore,1620.0,Flux,105.0,Wood,432.0,Starmetal Ore,180.0,Iron Ore,720.0,Refining Materials Tier 5,1080.0,Masterwork Material Converter,54.0,Wirefiber,17820.0,Cloth Weave,1155.0,Fibers,10560.0,Silk Threads,1980.0,Iron Hide,9720.0,Refining Materials Tier 3,12600.0,Common Material Converter,630.0,Rawhide,5760.0,Thick Hide,1080.0,Azoth,225.0,,,,,,,,,,,,,,,,,,
Steel Ingot,Flux,1.0,Wood,4.0,Iron Ore,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Sewing Needles,Work Order: Orichalcum Sewing Needles,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fae Iron,Fae Iron,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Pocketwatch,Common Transmutation Catalyst,12.0,Iron Pocketwatch,60.0,Greater Transmutation Catalyst,3.0,Grand Transmutation Catalyst,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weaponsmithing Work Order,Weaponsmithing Work Order,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyrdwood Tree Sap,Softwood Tree Sap,20.0,Common Transmutation Catalyst,4.0,Greater Transmutation Catalyst,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Plate Helm,Tier 3 Metals,8.0,Leathers,6.0,Cloth,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Beaded Totem,Ancient Bone Totem,5.0,Common Transmutation Catalyst,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Destroyer Hat of the Barbarian,Marauder Barbarian Seal,1.0,Marauder Destroyer Hat of the Brigand,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Adjudicator Footwear of the Cleric,Covenant Adjudicator Footwear of the Priest,1.0,Azoth,50.0,Covenant Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Adjudicator Handcovers of the Cleric,Covenant Adjudicator Handcovers of the Priest,1.0,Azoth,50.0,Covenant Cleric Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewood Pedestal Shelf,Flux,45.0,Wood,180.0,Starmetal Ore,90.0,Iron Ore,360.0,Refining Materials Tier 4,400.0,Advanced Material Converter,20.0,Oil,8.0,Wyrdwood,180.0,Sandpaper,90.0,Aged Wood,240.0,Green Wood,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Dryad's Round Shield,Pattern: Dryad's Round Shield,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Lumen Shoes of the Cleric,Azoth,50.0,Covenant Cleric Seal,1.0,Covenant Lumen Shoes of the Brigand,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempered Emerald Ring,Earth Mote,15.0,Solvent,4.0,Flawed Emerald,3.0,Precious Metals,1.0,Trinket Bands,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Inquisitor Boots of the Cleric,Azoth,50.0,Covenant Cleric Seal,1.0,Covenant Inquisitor Boots of the Sentry,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Alchemist Shoes of the Occultist,Syndicate Alchemist Shoes of the Brigand,1.0,Syndicate Occultist Seal,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeval Diamond Ring,Precious Metals,1.0,Trinket Bands,1.0,Solvent,4.0,Flawed Diamond,3.0,Life Mote,15.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covenant Adjudicator Boots of the Brigand,Covenant Brigand Seal,1.0,Covenant Adjudicator Boots of the Barbarian,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern: Ta-Seti's Hat,Pattern: Ta-Seti's Hat,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Quintessence,Death Mote,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maritime Velvet Dining Chair,Flux,30.0,Wood,120.0,Starmetal Ore,60.0,Iron Ore,240.0,Wyrdwood,90.0,Sandpaper,45.0,Aged Wood,120.0,Green Wood,240.0,Refining Materials Tier 4,200.0,Advanced Material Converter,10.0,Oil,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ironwood Spear of the Sage,Tier 5 Timber,13.0,Timeless Spear Shard,1.0,Leathers,2.0,Metals,5.0,Softwood Prayer Beads,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canned Fish Rations,Cooking Recipe,1.0,Fish Oil,5.0,Dill,5.0,Fish Filet,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboreal Amber Earring,Precious Metals,1.0,Trinket Hooks,1.0,Solvent,4.0,Earth Mote,15.0,Flawed Amber,3.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardworking Tall Dresser,Flux,45.0,Wood,180.0,Starmetal Ore,90.0,Iron Ore,360.0,Refining Materials Tier 4,400.0,Advanced Material Converter,20.0,Oil,8.0,Wyrdwood,180.0,Sandpaper,90.0,Aged Wood,240.0,Green Wood,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade Dresser,Refining Materials Tier 5,400.0,Masterwork Material Converter,20.0,Oil,8.0,Ironwood,280.0,Sandpaper,245.0,Wyrdwood,420.0,Aged Wood,560.0,Green Wood,1120.0,Flux,70.0,Wood,280.0,Starmetal Ore,120.0,Iron Ore,480.0,Orichalcum Ore,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Dryad Vine,Dead Dryad Vine,5.0,Common Transmutation Catalyst,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Gladiator Leggings of the Occultist,Marauder Occultist Seal,1.0,Marauder Gladiator Leggings of the Priest,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orichalcum Heavy Breastplate of the Sage,Tier 5 Metals,20.0,Cloth,7.0,Leathers,8.0,Softwood Prayer Beads,10.0,Timeless Breastplate Shard,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infused Silk Shoes,Metals,1.0,Tier 5 Cloth,5.0,Leathers,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marauder Commander Leggings of the Occultist,Marauder Occultist Seal,1.0,Marauder Commander Leggings of the Priest,1.0,Azoth,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Adept Handcovers of the Barbarian,Syndicate Adept Handcovers of the Priest,1.0,Azoth,50.0,Syndicate Barbarian Seal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssal Brilliant Amethyst Ring,Soul Mote,80.0,Solvent,12.0,Flawed Amethyst,12.0,Precious Metals,1.0,Trinket Bands,1.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacquered Wood Spear,Tier 3 Timber,11.0,Leathers,2.0,Metals,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squid Ink Pasta with Clams,Sage,1.0,Garlic,1.0,Squid Ink,1.0,Parsley,1.0,Milk,2.0,Clam,1.0,Egg,1.0,Cooked Grain,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shards of Pure Crystal,Shards of Pure Crystal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empowered Brilliant Sapphire Amulet,Trinket Chains,1.0,Precious Metals,1.0,Solvent,12.0,Death Mote,80.0,Flawed Sapphire,12.0,Trinket Gem Settings,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
